Timestamp,What is the case number allocated to you?,What is your age group? ,What gender you identify with?  ,What is your highest education Level? ,What is your employment Status? ,How would you rate your computing proficiency? ,"Prior to this study, have you ever used generative AI Language tool such as ChatGPT or Gemini?",In what capacity have you used them (LLMs or similar AI technologies)? (Please select all that apply) ,1.        Using ChatGPT helped me accomplish the task more quickly.,2.        Using ChatGPT increased my productivity in completing the task.,"3.        Overall, I found ChatGPT useful in completing the task.",4.        ChatGPT provided relevant information that helped me complete the task.,5.        I was confident in the accuracy and reliability of the answers provided by ChatGPT. ,6.        It was very easy to interact with ChatGPT.,7.        My interaction with ChatGPT was clear and understandable.,8.        I found ChatGPT easy to use.,9.        Learning to operate ChatGPT interface was easy for me.,10.        People who are important to me think that I should use ChatGPT.,11.        People who influence my behavior think that I should use ChatGPT.,12.        People whose opinions I value prefer that I use ChatGPT.,13.        I am confident in using ChatGPT for the task.,14.        I know how to use ChatGPT. ,15.        I am good at searching for information using ChatGPT.,16.        I think the information provided by ChatGPT can be trusted.,17.        ChatGPT is reliable. ,18.        I can depend on the information provided by ChatGPT.,19.        I intend to use ChatGPT in the future.,20.       I am satisfied with the experience of using ChatGPT to completing the given task.,20.       I am satisfied with the experience of using ChatGPT to completing the given task.,21.        What did you like most about using ChatGPT for this task?,22.       What challenges did you face while using ChatGPT for this task?,23.        Do you have any suggestions on how ChatGPT 's usability can be improved for tasks like this?,Participant Consent, Task Completion
8/30/2024 13:48:22,12,18-24,Male,Postgraduate Degree,Employed part-time,Advanced,No,,5,5,5,5,5,4,4,4,5,1,2,2,4,5,5,5,5,3,5,5,,Ease of use and easy access to information ,Non,Proper ggraphics,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/1/2024 22:38:31,17,18-24,Male,Some College,Student,Intermediate,Yes,For personal interest or tasks,5,4,5,5,4,5,4,5,5,5,4,5,5,5,4,4,5,4,5,5,,How fast I can get information relevant to planning my trip. And chatglt information is reliable.,"I faced no challenges , it was very convenient ",Making people Aware of how easy things can be planned using chatgpt,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/3/2024 21:45:16,15,25-34,Female,College Graduate,Self-employed,Advanced,Yes,"For work or professional tasks, For personal interest or tasks",5,5,5,5,4,5,5,5,5,5,3,5,4,5,5,4,4,4,5,4,,providing clear answers for my prompts ,nothing much,"include web links for hotels, activities to get more info",I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/6/2024 0:58:29,18,25-34,Male,College Graduate,Employed full-time,Expert,Yes,"For work or professional tasks, For personal interest or tasks",5,5,5,5,4,5,5,5,5,4,3,4,5,5,5,4,4,4,5,4,,it provides full and comprehensive details regrading the trip im planning to go.,the estimated costs might be different or not fully up to dated.,to always use latest/updated data when providing requested information.,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/6/2024 6:05:12,16,35-44,Male,Postgraduate Degree,Employed full-time,Advanced,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",4,4,3,3,2,4,3,4,4,2,4,3,4,4,4,3,3,3,4,4,,Its giving the details in a proper way as a report. It will take some what considerable time to prepare it our own. So it is useful ,The Places it suggest. Need to check availability. The last updated data to chatgpt may change now.,This extent its ok ,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/7/2024 23:48:04,22,45-54,Male,College Graduate,Employed full-time,Advanced,No,,4,5,5,5,4,5,5,4,4,1,0,1,2,2,3,4,4,4,5,5,,How easy it is to use and search for information.,Sometimes the amount of information it provides is too much to read.,Nothing,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/8/2024 17:35:14,11,18-24,Male,Postgraduate Degree,Student,Advanced,Yes,For academic or research purposes,3,3,5,5,5,3,3,4,4,2,2,2,3,3,5,3,4,4,4,4,,The amount of information given regarding to our prompt qns.,The QN should be precise and also i feel it makes mistakes in doing some math problems,may be good at math and update regularly.,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/8/2024 20:55:20,21,35-44,Male,College Graduate,Employed full-time,Advanced,No,,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,3,3,3,5,4,,"clear concise anwers to questions asked, unlike just googling sometime which doesn't provide a clear answer.",Printing the page directly to a pdf was difficult with existing settings,"Include the number of responses received for the same question asked before, in a form of a number or % (e.g. this many % or this many people found this answer as helpful for the same question asked) etc.",I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/8/2024 23:30:04,19,35-44,Male,College Graduate,Employed full-time,Expert,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",5,5,5,5,4,5,5,5,5,3,3,4,5,5,5,4,4,4,5,5,,"Can't pick one so I'd say ease of use, grouping of information and speed","Limitations to free tier, Limitations for generative content such as visualising suggested route. Given the information provided is not 100% accurate it will take some time to verify the content for truthfulness. ","A visual canvas with attractions information, route planning would be good. But at the same time would be really complicated to implement",I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/9/2024 2:28:31,20,35-44,Female,Postgraduate Degree,Employed full-time,Intermediate,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",5,4,5,4,4,5,5,5,4,3,2,2,4,4,3,3,3,3,4,4,,Easy and less time consuming,Lengthy answer. Some parts I skipped because it is lengthy,Make the answer short. So easy to read.,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/9/2024 6:30:58,25,35-44,Male,Postgraduate Degree,Employed full-time,Intermediate,Yes,For personal interest or tasks,4,4,4,5,3,4,4,4,4,3,3,3,4,3,3,3,3,3,4,4,,It is easy to command ,Getting familiar to the interface of it and asking the questions in understandable manner,,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/13/2024 2:31:57,24,25-34,Female,College Graduate,Employed full-time,Advanced,Yes,For academic or research purposes,3,3,3,3,5,4,5,5,5,1,1,1,5,5,5,5,5,5,5,4,,The summarisations done by the AI...It was like a to-do list,Time constraint. Some answers are too long,Links to third party websites directly from ChatGPT,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/13/2024 17:06:35,13,35-44,Male,Postgraduate Degree,Self-employed,Advanced,No,,2,2,2,3,2,3,3,4,4,5,5,5,3,2,3,3,3,3,4,3,,easy to use,less proficiency in chatGPT,more awareness,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/15/2024 19:22:07,26,35-44,Male,College Graduate,Self-employed,Intermediate,No,,4,5,4,4,5,5,4,5,5,5,4,5,5,3,4,4,5,4,5,4,,Easy to use,Long answers are hard to read,Make answers shorter,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/15/2024 20:16:00,31,35-44,Male,Postgraduate Degree,Employed full-time,Intermediate,No,,4,4,4,4,4,4,4,5,4,4,3,3,4,3,3,3,3,3,3,4,,no grammar problems,its a new interface,"if it is possible to have voice recognition, it is fine",I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/15/2024 21:25:16,23,35-44,Male,College Graduate,Employed full-time,Intermediate,No,,5,5,4,4,4,5,4,4,4,3,3,3,3,3,4,4,4,4,4,4,,Nice presentation and organizing information ,getting used to use CHATGPT as first time user,,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/16/2024 19:07:00,98,25-34,Female,Postgraduate Degree,Employed full-time,Intermediate,Yes,For personal interest or tasks,4,4,4,4,4,3,3,4,4,3,3,3,4,4,4,3,3,3,4,4,,Fast response,Clear prompt to make gpt understanding the task,"Customize the user profile, so it can focus on that field",I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/17/2024 13:52:43,32,25-34,Female,Postgraduate Degree,Employed part-time,Expert,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,,Its provide all required information in one click,none,images and maps,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/19/2024 20:20:10,36,35-44,Female,Postgraduate Degree,Student,Expert,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",5,3,5,5,5,5,5,5,5,3,3,3,5,5,5,5,3,3,5,5,,ChatGPT makes it easy to ask many questions at once. Then ChatGPT analyze everything together and provide all answers in a logical manner,Nothing specifically,ChatGPT could provide related web links in the result,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/19/2024 21:54:27,38,18-24,Male,Some College,Employed part-time,Advanced,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",5,5,5,4,3,4,5,4,5,4,1,4,5,5,5,3,4,3,5,4,,Quick and fast responses and detailed explanations which saved time from doing research,"Unnecessary information logs and suspicious about >how old is the data that I am receiving""","Interactions with individual and commerce websites ( for examples: access the website of the lodging and restaurants, read customer feedback ) and take the information to account before generating a reply.",I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/20/2024 13:45:23,37,18-24,Female,Postgraduate Degree,Student,Advanced,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",5,4,4,4,4,4,4,5,5,3,3,3,4,4,4,3,3,2,4,4,,Fast response,none,no,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
9/21/2024 20:32:09,34,25-34,Male,Postgraduate Degree,Student,Advanced,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",4,5,4,4,4,5,4,5,5,5,4,4,5,5,5,4,4,4,5,4,,Its very easy to use,No challenges i have been using ChatGPT before ,Make it more humanize ,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
10/6/2024 18:00:58,41,25-34,Male,Postgraduate Degree,Employed part-time,Advanced,Yes,"For work or professional tasks, For academic or research purposes, For personal interest or tasks",5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,,Fast responses.,na,Provide more links that relate to responses.,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
10/8/2024 22:40:59,40,25-34,Female,Postgraduate Degree,Student,Intermediate,Yes,"For academic or research purposes, For personal interest or tasks",5,5,5,4,3,5,5,5,5,5,5,5,4,4,5,3,3,3,5,5,,I can refine the answer ChatGPT gives me by guiding it with further prompts. ,"It initially only utilized around $1300, I wanted it to create an itinerary that would use close to the maximum budget. ","More specificity is required. The good thing is that if you don't initially know exactly what it is you want, it can provide an initial idea, which you can further build upon with new prompts. ",I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
10/13/2024 12:35:00,42,55-64,Female,College Graduate,Employed part-time,Novice,Yes,For academic or research purposes,4,5,4,3,2,5,3,5,5,3,3,3,2,2,2,4,4,4,5,5,,easy and quick,how to start,,I have read and understood the above information sheet. I agree to be a part of this project.,I have completed Task 1.
